beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
SBFD16,祐益峰大路私募证券投资基金,祐益峰大路,厦门祐益峰资管,2026-08-14,0.9445,股票多头,,no,in_table_null_latest_nav_date,yes,yes,祐益峰大路私募证券投资基金,正在运作,厦门祐益峰资产管理有限公司,no,0,,,,,no,,,,,,,
SBKY14,品润鲸鲨三号私募证券投资基金,品润鲸鲨三号,浙江品润投资,2026-08-14,0.9775,股票多头,,no,in_table_null_latest_nav_date,yes,yes,品润鲸鲨三号私募证券投资基金,正在运作,浙江品润投资管理有限公司,no,0,,,,,no,,,,,,,
SBNN67,泽源泰6号私募证券投资基金,泽源泰6号,深圳泽源泰森,2026-08-14,0.971,股票多头,,no,in_table_null_latest_nav_date,yes,yes,泽源泰6号私募证券投资基金,正在运作,深圳市泽源泰森私募证券投资基金管理有限公司,no,0,,,,,no,,,,,,,
SCA345,佳期智选海湾10号私募证券投资基金,佳期智选海湾10号,上海佳期,2026-08-14,1.0001,股票多头,,no,in_table_null_latest_nav_date,yes,yes,佳期智选海湾10号私募证券投资基金,正在运作,上海佳期私募基金管理有限公司,no,0,,,,,no,,,,,,,
SVT270,观澜投资稳健3号私募证券投资基金,观澜投资稳健3号,青岛观澜投资,2026-08-14,1.2468,债券策略,信用债,no,in_table_null_latest_nav_date,yes,yes,观澜投资稳健3号私募证券投资基金,正在运作,青岛观澜投资管理有限公司,no,0,,,,,no,,,,,,,
SQN676,钜融挚诚2号私募证券投资基金,钜融挚诚2号,中海外钜融资管,2026-08-17,1.1498,债券策略,信用债,no,in_table_null_latest_nav_date,yes,yes,钜融挚诚2号私募证券投资基金,正在运作,中海外钜融资产管理集团有限公司,no,0,,,,,no,,,,,,,
SZL391,尚珑伍洲稳健贰号私募证券投资基金,尚珑伍洲稳健贰号,深圳尚珑基金,2026-08-17,1.0194,债券策略,信用债,no,in_table_null_latest_nav_date,yes,yes,尚珑伍洲稳健贰号私募证券投资基金,正在运作,深圳市尚珑基金管理有限公司,no,0,,,,,no,,,,,,,
AML97B,积沐发明家一号私募证券投资基金B类份额,积沐发明家一号B类,上海积沐,2026-08-21,1.4325,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
AWV19B,锦福源中证1000指增私募证券投资基金B类份额,锦福源中证1000指增B类,海南锦福源,2026-08-21,1.0752,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
B9945B,璟诚徽赢1号私募证券投资基金B类份额,璟诚徽赢1号B类,广东璟诚,2026-08-21,0.8119,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BEQ63A,益清证金孔明1号量化私募证券投资基金A类份额,益清证金孔明1号量化A类,深圳证金投资,2026-08-21,0.9264,股票对冲,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMH33A,巨量均衡择时量选沧海三号私募证券投资基金A类份额,巨量均衡择时量选沧海三号A类,珠海巨量均衡,2026-08-21,1.0256,股票多头,另类多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQV69B,未来股指低波一号私募证券投资基金B类份额,未来股指低波一号B类,深圳未来投资,2026-08-21,1.1211,股票多头,500指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQY46A,谦和钟山一号私募证券投资基金A类份额,谦和钟山一号A类,成都谦和,2026-08-21,0.9125,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
GN579B,巨量边界量化精选1号私募证券投资基金B类份额,巨量边界量化精选1号B类,北京巨量边界,2026-08-21,1.4867,股票多头,量化选股,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NN892A,澎泰转债精选一期证券投资私募基金A类份额,澎泰转债精选一期A类,北京澎泰资本,2026-08-21,2.303,股票多头,可转债多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NN892C,澎泰转债精选一期证券投资私募基金C类份额,澎泰转债精选一期C类,北京澎泰资本,2026-08-21,2.2744,股票多头,可转债多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QW602A,美好吉布斯一号私募证券投资基金A类份额,美好吉布斯一号A类,广东横琴广鑫美好,2026-08-21,1.3666,股票多头,500指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
SAJV28,君合远景1号私募证券投资基金,君合远景1号,青岛君合,2026-08-21,1.1353,组合策略,FOF,no,in_table_null_latest_nav_date,yes,yes,君合远景1号私募证券投资基金,正在运作,青岛君合私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAMT05,东方润泽腾辰1号私募证券投资基金,东方润泽腾辰1号,海南东方润泽,2026-08-21,1.2316,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,东方润泽腾辰1号私募证券投资基金,正在运作,海南东方润泽私募基金管理有限公司,no,0,,,,,no,,,,,,,
SB9945,璟诚徽赢1号私募证券投资基金,璟诚徽赢1号,广东璟诚,2026-08-21,0.8119,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,璟诚徽赢1号私募证券投资基金,正在运作,广东璟诚私募基金管理有限公司,no,0,,,,,no,,,,,,,
SBKC79,聚力光华1号私募证券投资基金,聚力光华1号,湖南聚力财富,2026-08-21,0.7316,股票多头,,no,in_table_null_latest_nav_date,yes,yes,聚力光华1号私募证券投资基金,正在运作,湖南聚力财富私募基金管理有限公司,no,0,,,,,no,,,,,,,
SBMH33,巨量均衡择时量选沧海三号私募证券投资基金,巨量均衡择时量选沧海三号,珠海巨量均衡,2026-08-21,1.0256,股票多头,另类多头,no,in_table_null_latest_nav_date,yes,yes,巨量均衡择时量选沧海三号私募证券投资基金,正在运作,巨量均衡私募证券基金管理（珠海）有限公司,no,0,,,,,no,,,,,,,
SBQV69,未来股指低波一号私募证券投资基金,未来股指低波一号,深圳未来投资,2026-08-21,1.1229,股票多头,500指增,no,in_table_null_latest_nav_date,yes,yes,未来股指低波一号私募证券投资基金,正在运作,未来（深圳）投资管理有限公司,no,0,,,,,no,,,,,,,
SBQY46,谦和钟山一号私募证券投资基金,谦和钟山一号,成都谦和,2026-08-21,0.9126,股票多头,,no,in_table_null_latest_nav_date,yes,yes,谦和钟山一号私募证券投资基金,正在运作,成都谦和私募基金管理有限公司,no,0,,,,,no,,,,,,,
SBRC84,华澄三号私募证券投资基金,华澄三号,北京华澄,2026-08-21,1.1538,期货策略,,no,in_table_null_latest_nav_date,yes,yes,华澄三号私募证券投资基金,正在运作,北京华澄私募基金管理有限公司,no,0,,,,,no,,,,,,,
SCC431,普弘—银马价值趋势3号私募证券投资基金,普弘—银马价值趋势3号,广东普弘资管,2026-08-21,1.3391,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,普弘—银马价值趋势3号私募证券投资基金,正在运作,广东普弘资产管理有限公司,no,0,,,,,no,,,,,,,
SJ5171,趣时事件驱动1号证券投资基金,趣时事件驱动1号基金,上海趣时资管,2026-08-21,5.11,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,趣时事件驱动1号证券投资基金,正在运作,上海趣时资产管理有限公司,no,0,,,,,no,,,,,,,
STV421,千瓴龙腾八号私募证券投资基金,千瓴龙腾八号,海南千瓴,2026-08-21,4.7901,组合策略,FOF,no,in_table_null_latest_nav_date,yes,yes,千瓴龙腾八号私募证券投资基金,正在运作,海南千瓴私募基金管理合伙企业（有限合伙）,no,0,,,,,no,,,,,,,
SVB797,睿亿揽月十期私募证券投资基金,睿亿揽月十期,上海睿亿投资,2026-08-21,1.3016,股票对冲,股票多空,no,in_table_null_latest_nav_date,yes,yes,睿亿揽月十期私募证券投资基金,正在运作,上海睿亿投资发展中心（有限合伙）,no,0,,,,,no,,,,,,,
SVG196,子正开源1号私募证券投资基金,子正开源1号,天津子正资管,2026-08-21,1.844,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,子正开源1号私募证券投资基金,正在运作,天津子正资产管理有限公司,no,0,,,,,no,,,,,,,
SZK042,数算奇点私募证券投资基金,数算奇点,北京数算先锋资管,2026-08-21,1.225,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,数算奇点私募证券投资基金,正在运作,数算先锋资产管理（北京）有限公司,no,0,,,,,no,,,,,,,
SZS106,浅行量化1号私募证券投资基金,浅行量化1号,海南浅行,2026-08-21,1.1738,多资产策略,复合策略,no,in_table_null_latest_nav_date,yes,yes,浅行量化1号私募证券投资基金,正在运作,浅行私募基金管理（海南）有限公司,no,0,,,,,no,,,,,,,
VB797B,睿亿揽月十期私募证券投资基金B类份额,睿亿揽月十期B类,上海睿亿投资,2026-08-21,1.284,股票对冲,股票多空,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
VU557B,汇乾锐进成长1号私募证券投资基金B类份额,汇乾锐进成长1号B类,海南汇乾,2026-08-21,0.8932,股票对冲,择时对冲,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
