beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
ADG44A,哲萌进取2号A类,期货策略,主观期货,杭州哲萌投资,2023-11-24,-0.49%,+0.26%,-2.84%,-5.12%,+9.73%,0.9377,1.7038,7,私募基金.xlsx,Y,Y,N,Y,哲萌进取2号A类,1.216500,2026-09-04,154,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADJ44A,凯丰凌风1号基本面量化CTAA类,期货策略,量化期货,深圳凯丰投资,2023-12-06,+0.94%,+0.54%,+1.16%,+6.50%,+17.19%,1.9348,4.1042,7,私募基金.xlsx,Y,Y,N,Y,凯丰凌风1号基本面量化CTAA类,1.400300,2026-09-04,150,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADJ44C,凯丰凌风1号基本面量化CTAC类,期货策略,量化期货,深圳凯丰投资,2023-12-06,+0.92%,+0.43%,+0.88%,+5.93%,+15.95%,1.7767,3.6435,7,私募基金.xlsx,Y,Y,N,Y,凯丰凌风1号基本面量化CTAC类,1.344300,2026-09-04,144,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADJ58B,勤远CTA策略臻选B类,期货策略,量化期货,上海勤远,2023-12-12,+3.51%,+7.19%,-3.41%,-5.88%,,,,4,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
ADP39A,积优基石1号A类,多资产策略,复合策略,上海积优,2023-11-24,+0.27%,+9.34%,+0.85%,+3.29%,+28.39%,1.6747,2.9836,7,私募基金 (3).xlsx,Y,Y,N,Y,积优基石1号A类,1.822400,2026-09-04,151,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADR29A,桥睿向往启明A类,期货策略,量化期货,浙江桥睿资管,2023-11-22,+0.63%,+2.60%,+0.12%,-2.05%,+20.76%,1.4348,2.9178,7,私募基金.xlsx,Y,Y,N,Y,桥睿向往启明A类,1.077700,2026-09-04,129,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AEA78C,量宇进取1号C类,套利策略,期货套利,上海量宇,2023-12-13,-2.05%,+12.28%,-11.64%,-14.83%,-3.52%,-0.1795,-0.1221,7,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AEC63A,聚联汇3号A类,多资产策略,宏观策略,深圳聚联汇投资,2024-01-18,+1.62%,+7.64%,-0.22%,-23.94%,-21.53%,-0.9947,-0.5745,7,私募基金 (3).xlsx,Y,Y,N,Y,聚联汇3号A类,0.808500,2026-09-04,104,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AEC63B,聚联汇3号B类,多资产策略,宏观策略,深圳聚联汇投资,2024-01-18,+1.65%,+7.76%,+0.06%,-23.54%,-20.75%,-0.9617,-0.5609,7,私募基金 (3).xlsx,Y,Y,N,Y,聚联汇3号B类,0.814000,2026-09-04,58,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AED88A,金程百仕旺A类,期货策略,量化期货,宁波垄原,2023-12-04,+1.42%,+1.99%,-2.29%,-0.37%,+9.04%,0.6900,1.0079,7,私募基金.xlsx,Y,Y,N,Y,金程百仕旺A类,0.984200,2026-09-04,150,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
