beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
TK984A,新远晨骏宏观对冲1号A类,多资产策略,宏观策略,上海新远,2021-12-14,-1.06%,+1.97%,+3.26%,+3.72%,+29.65%,2.5122,6.8007,7,私募基金 (3).xlsx,Y,Y,N,Y,新远晨骏宏观对冲1号A类,1.867000,2026-09-04,264,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TK984B,新远晨骏宏观对冲1号B类,多资产策略,宏观策略,上海新远,2021-12-14,-1.06%,+1.97%,+3.32%,+3.78%,+29.72%,2.5265,6.8202,7,私募基金 (3).xlsx,Y,Y,N,Y,新远晨骏宏观对冲1号B类,1.868000,2026-09-04,263,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TL421A,道石浩昆FOFA类,组合策略,FOF,海南道石,2022-01-07,-6.70%,+3.00%,-15.00%,-6.65%,+6.65%,0.1289,0.2537,7,私募基金 (4).xlsx,Y,Y,N,Y,道石浩昆FOFA类,1.031600,2026-09-04,259,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TL900A,宏翼捕风1号A类,期货策略,主观期货,上海宏翼,2021-12-23,+0.64%,+12.19%,+11.73%,+13.24%,+15.26%,1.5666,16.5735,7,私募基金.xlsx,Y,Y,N,Y,宏翼捕风1号A类,1.105000,2026-09-07,263,2026-09-07,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,N
TM507C,秋水长天扶摇1号C类,多资产策略,宏观策略,广东秋水长天,2021-12-14,+0.25%,-0.11%,-2.74%,-13.91%,+13.01%,0.5140,0.6478,7,私募基金 (3).xlsx,Y,Y,N,Y,秋水长天扶摇1号C类,1.900000,2026-09-04,113,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN197A,道石青彦优选A类,组合策略,FOF,海南道石,2022-01-24,-6.92%,+3.13%,-15.41%,-6.46%,,,,4,私募基金 (4).xlsx,Y,Y,N,Y,道石青彦优选A类,1.074600,2026-09-04,47,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN228A,臻选石门一号A类,组合策略,FOF,海南臻选,2021-12-22,-0.87%,-0.58%,-3.40%,+0.59%,+6.15%,0.6200,1.0913,7,私募基金 (4).xlsx,N,N,N,Y,,,,0,,116,0,0,N,not_in_universe,,,,,N
TN383B,筑金淘金壹号B类,期货策略,主观期货,上海筑金投资,2022-02-15,0.00%,+1.01%,+0.20%,-2.24%,-2.43%,-0.8135,-0.5927,7,私募基金.xlsx,Y,Y,N,Y,筑金淘金壹号B类,1.002000,2026-09-04,55,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN659A,奕睿CTA一期AA类,期货策略,量化期货,上海奕睿,2021-12-23,+0.16%,+3.20%,+6.65%,,,,,3,私募基金.xlsx,Y,Y,N,Y,奕睿CTA一期AA类,1.404300,2026-09-04,17,2026-09-04,8,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN659B,奕睿CTA一期AB类,期货策略,量化期货,上海奕睿,2021-12-23,+0.14%,+3.10%,+6.37%,,,,,3,私募基金.xlsx,Y,Y,N,Y,奕睿CTA一期AB类,1.398500,2026-09-04,17,2026-09-04,8,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN670A,鲨鱼深海量化A类,期货策略,量化期货,珠海鲨鱼资管,2021-12-22,-6.10%,+11.43%,-28.47%,,,,,3,私募基金.xlsx,Y,Y,N,Y,鲨鱼深海量化A类,0.360700,2026-09-10,52,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
TN670B,鲨鱼深海量化B类,期货策略,量化期货,珠海鲨鱼资管,2021-12-22,-6.11%,+11.40%,-28.48%,,,,,3,私募基金.xlsx,Y,Y,N,Y,鲨鱼深海量化B类,0.367900,2026-09-10,52,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
TN945A,元涞进取一号A类,组合策略,FOF,上海元涞,2021-12-22,-1.31%,+7.48%,-0.82%,-5.70%,+16.81%,0.8316,1.1898,7,私募基金 (4).xlsx,Y,Y,N,Y,元涞进取一号A类,1.700800,2026-09-04,55,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TN945B,元涞进取一号B类,组合策略,FOF,上海元涞,2021-12-22,-1.33%,+7.38%,-1.09%,-6.19%,+15.63%,0.7653,1.0808,7,私募基金 (4).xlsx,Y,Y,N,Y,元涞进取一号B类,1.625700,2026-09-04,260,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TQ439B,耘阳现金增利1号B类,组合策略,FOF,广东耘阳,2022-01-06,-0.40%,+0.55%,+0.86%,+5.23%,+11.88%,1.9619,5.4104,7,私募基金 (4).xlsx,Y,Y,N,Y,耘阳现金增利1号FOFB类,1.243400,2026-09-04,260,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TR893B,澜胜全天候稳健1号B类,多资产策略,宏观策略,上海澜胜,2023-01-03,-6.62%,+13.35%,-12.33%,-15.79%,+16.41%,0.3489,0.5504,7,私募基金 (3).xlsx,Y,Y,N,Y,澜胜全天候稳健1号B类,0.926600,2026-09-04,120,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TS204B,致衍基金管家策略1号B类,多资产策略,复合策略,海南致衍,2022-01-26,-3.20%,+2.85%,-8.64%,-17.78%,-10.44%,-0.5939,-0.4421,7,私募基金 (3).xlsx,Y,Y,N,Y,致衍基金管家策略1号B类,1.937500,2026-09-04,230,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TS592C,申毅城盈1号C类,期权策略,场内期权,上海申毅投资,2022-03-10,-0.16%,+0.48%,-0.99%,-1.65%,+0.17%,-0.9572,0.0794,7,私募基金 (2).xlsx,Y,Y,N,Y,申毅城盈1号C类,1.224600,2026-09-04,114,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TT548B,殊馥馥源套利5号B类,套利策略,基金套利,上海殊馥投资,2022-01-26,+0.11%,+0.92%,+2.03%,+3.71%,+7.14%,1.8173,7.8313,7,私募基金 (1).xlsx,Y,Y,N,Y,殊馥馥源套利5号B类,1.016800,2026-09-08,172,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-27 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
TU400A,国源拾金8号A类,多资产策略,复合策略,深圳国源信达资管,2022-01-19,-1.33%,+7.57%,+3.53%,-2.45%,+22.34%,1.2262,1.7922,7,私募基金 (3).xlsx,Y,Y,N,Y,国源拾金8号A类,2.353200,2026-09-04,258,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TU531B,杨湜多策略2号B类,多资产策略,复合策略,上海杨湜投资,2022-01-20,+2.01%,+7.69%,+8.10%,+5.12%,+25.65%,1.6804,2.6919,7,私募基金 (3).xlsx,Y,Y,N,Y,杨湜多策略2号B类,1.142300,2026-09-04,258,2026-09-04,4,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TV557B,深高弘源稳进9号B类,多资产策略,宏观策略,深圳深高,2022-05-27,-8.44%,-5.52%,-14.31%,-21.04%,-12.31%,-0.5540,-0.5091,7,私募基金 (3).xlsx,Y,Y,N,Y,深高弘源稳进9号B类,0.976000,2026-09-04,227,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TV782A,禛瑛稳财半年惠1号A类,组合策略,FOF,上海禛瑛投资,2022-02-09,-0.06%,+0.61%,-0.06%,+0.28%,+3.17%,0.6629,2.9777,7,私募基金 (4).xlsx,Y,Y,N,Y,禛瑛稳财半年惠1号A类,1.244900,2026-09-04,210,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TV938A,积优基石A类,多资产策略,复合策略,上海积优,2022-03-01,+0.22%,+9.12%,+0.30%,+2.24%,+25.84%,1.5127,2.6196,7,私募基金 (3).xlsx,Y,Y,N,Y,积优基石A类,1.317300,2026-09-04,252,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TV946A,耶诺稳健精选A类,多资产策略,复合策略,上海耶诺资管,2022-07-05,+1.91%,+1.54%,+6.08%,-16.24%,,,,4,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
TV963C,昭华丛林一号C类,期货策略,量化期货,三亚昭华,2022-02-23,-0.42%,+13.70%,-5.65%,+0.08%,+15.34%,0.3443,0.5219,7,私募基金.xlsx,Y,Y,N,Y,昭华丛林一号C类,2.126000,2026-09-04,116,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TW103B,悬铃尊享CTA8号B类,期货策略,量化期货,上海悬铃,2022-03-11,+2.47%,+0.35%,-0.46%,+0.29%,-5.94%,-0.6784,-0.5541,7,私募基金.xlsx,Y,Y,N,Y,悬铃尊享CTA8号B类,1.002700,2026-09-04,251,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TW239A,庄贤亨贞期权对冲A类,套利策略,期权套利,杭州庄贤投资,2022-01-28,-0.13%,+0.84%,+2.22%,+1.96%,+4.26%,1.4013,9.7637,7,私募基金 (1).xlsx,Y,Y,N,Y,庄贤亨贞期权对冲A类,1.117000,2026-09-04,256,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TW306A,小黑妞星辰1号A类,期货策略,主观期货,上海小黑妞资管,2022-03-25,-0.88%,+1.28%,+0.54%,+5.57%,+51.49%,1.7352,4.2340,7,私募基金.xlsx,Y,Y,N,Y,小黑妞星辰1号A类,1.339700,2026-09-04,179,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TW306B,小黑妞星辰1号B类,期货策略,主观期货,上海小黑妞资管,2022-03-25,-0.86%,+1.38%,+0.82%,+6.12%,+53.05%,1.7888,4.3956,7,私募基金.xlsx,Y,Y,N,Y,小黑妞星辰1号B类,1.389100,2026-09-04,249,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-21 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TX072B,征途启航壹号B类,多资产策略,复合策略,深圳征途,2022-07-15,-3.29%,-3.96%,+11.09%,+6.90%,+33.51%,0.9433,2.3631,7,私募基金 (3).xlsx,Y,Y,N,Y,征途启航壹号B类,0.873800,2026-09-04,134,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TX097A,恒立多资产配置1号A类,多资产策略,复合策略,海南恒立,2022-07-15,-1.07%,-0.37%,+4.93%,-6.62%,+7.22%,0.4686,0.5331,7,私募基金 (3).xlsx,Y,Y,N,Y,恒立多资产配置1号A类,1.393800,2026-09-04,226,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TY104C,艾方CTA进取1号C类,期货策略,量化期货,上海艾方资管,2022-07-28,+2.20%,-0.40%,+3.90%,+13.51%,+16.80%,0.8746,3.0354,7,私募基金.xlsx,Y,Y,N,Y,艾方CTA进取1号C类,1.557600,2026-09-04,228,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TY238A,优美利复合对冲3号A类,多资产策略,复合策略,深圳优美利投资,2022-08-24,-0.92%,+2.35%,-0.75%,-1.26%,+7.09%,0.7947,1.4230,7,私募基金 (3).xlsx,Y,Y,N,Y,优美利复合对冲3号A类,1.336700,2026-09-08,86,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
TY620A,宣夜至信季添利三号A类,期货策略,量化期货,上海宣夜投资,2022-08-25,+0.04%,+0.32%,+0.46%,+1.18%,+3.05%,1.6709,15.6742,7,私募基金.xlsx,Y,Y,N,Y,宣夜至信季添利三号A类,1.164400,2026-09-04,224,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TY632A,致同添利套利多策略三期A类,套利策略,期货套利,上海致同投资,2022-07-28,+0.28%,+0.35%,-0.18%,+0.84%,+3.03%,0.4679,3.4871,7,私募基金 (1).xlsx,Y,Y,N,Y,致同添利套利多策略三期A类,1.168400,2026-09-04,224,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
TZ255A,富励业浦江5号A类,期货策略,量化期货,上海富励业,2022-08-03,+0.36%,+1.25%,+4.04%,+2.75%,+0.57%,-0.0978,0.0512,7,私募基金.xlsx,Y,Y,N,Y,富励业浦江5号A类,0.901800,2026-09-04,227,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VA924B,上海元量致世量化CTA噎鸣2号B类,期货策略,量化期货,北京元量致世,2022-03-08,+1.46%,+1.26%,+3.08%,+1.89%,+2.74%,0.1121,1.0550,7,私募基金.xlsx,Y,Y,N,Y,上海元量致世量化CTA噎鸣2号B类,1.178000,2026-09-04,230,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VB087A,潼骁长益增强A类,多资产策略,复合策略,潼骁投资,2022-03-16,+0.38%,+0.41%,,,,,,2,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
VB087B,潼骁长益增强B类,多资产策略,复合策略,潼骁投资,2022-03-16,+0.38%,+0.36%,,,,,,2,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
VB159A,广联宏大威天龙A类,期货策略,主观期货,海南广联宏,2022-09-06,+0.61%,+2.55%,+2.81%,,,,,3,私募基金.xlsx,Y,Y,N,Y,广联宏大威天龙A类,1.686200,2026-09-10,52,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
VC309B,白鹭权优1号B类,期权策略,场内期权,浙江白鹭资管,2022-04-11,-0.57%,+1.58%,+0.49%,-0.08%,+6.72%,1.2805,3.6874,7,私募基金 (2).xlsx,Y,Y,N,Y,白鹭权优1号B类,1.225000,2026-09-04,215,2026-09-04,212,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
VD401A,彩霞湾大观A类,多资产策略,复合策略,宁波彩霞湾投资,2022-02-25,+0.39%,+2.28%,-0.52%,-0.08%,+8.75%,0.8304,1.2699,7,私募基金 (3).xlsx,Y,Y,N,Y,彩霞湾大观A类,1.433600,2026-09-04,79,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VD752B,暨创汇金达多策略1号B类,多资产策略,复合策略,深圳前海暨创汇,2022-02-28,+0.50%,+3.51%,-0.72%,-5.18%,+10.95%,0.6165,0.7747,7,私募基金 (3).xlsx,Y,Y,N,Y,暨创汇金达多策略1号B类,1.128600,2026-09-04,246,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VE221B,昭华霍山一号B类,多资产策略,宏观策略,三亚昭华,2022-03-08,-0.53%,+3.59%,-1.87%,-6.12%,+2.63%,0.0492,0.2346,7,私募基金 (3).xlsx,Y,Y,N,Y,昭华霍山一号B类,1.382900,2026-09-04,251,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VF463A,杉阳云杉稳健1号A类,期货策略,主观期货,上海杉阳,2022-03-11,+0.01%,+0.08%,+0.75%,+2.81%,+4.28%,1.0606,3.8554,7,私募基金.xlsx,Y,Y,N,Y,杉阳云杉稳健1号A类,1.010500,2026-09-04,250,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VF463B,杉阳云杉稳健1号B类,期货策略,主观期货,上海杉阳,2022-03-11,+0.03%,+0.17%,+1.02%,+3.34%,+5.33%,1.5652,5.4817,7,私募基金.xlsx,Y,Y,N,Y,杉阳云杉稳健1号B类,1.011100,2026-09-04,250,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VG920A,锐耐复利倍增1号A类,期货策略,量化期货,上海锐耐,2022-09-26,-0.46%,+1.16%,+2.77%,-0.28%,+1.10%,-0.2060,0.2324,7,私募基金.xlsx,Y,Y,N,Y,锐耐复利倍增1号A类,6.118000,2026-09-09,220,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
VH342B,吉余天乙1号B类,期货策略,主观期货,上海吉余,2022-04-11,-0.61%,+3.35%,-1.36%,+3.60%,+15.93%,1.1587,2.8602,7,私募基金.xlsx,Y,Y,N,Y,吉余天乙1号B类,1.247600,2026-09-04,204,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VH343B,悬铃C号9期B类,套利策略,可转债套利,上海悬铃,2022-04-20,+0.59%,-2.22%,+1.19%,+7.14%,+8.24%,0.7858,2.2669,7,私募基金 (1).xlsx,Y,Y,N,Y,悬铃C号9期B类,1.365000,2026-09-09,247,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-26 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
VH729A,广聚星合大千A类,期货策略,量化期货,共青城广聚星合,2022-03-30,+0.23%,-1.19%,-0.07%,+1.74%,+4.16%,0.7614,2.8747,7,私募基金.xlsx,Y,Y,N,Y,广聚星合大千A类,1.069100,2026-09-04,250,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-26 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VH998A,哲萌5号A类,套利策略,期货套利,杭州哲萌投资,2022-05-05,-0.05%,+0.02%,-0.78%,-1.98%,+2.78%,0.2523,1.2595,7,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
VJ227A,海子双线性择时1号A类,多资产策略,复合策略,四川海子投资,2022-03-31,-1.51%,+6.96%,-4.16%,-12.80%,+12.25%,0.3839,0.5794,7,私募基金 (3).xlsx,Y,Y,N,Y,海子双线性择时1号A类,1.854300,2026-09-04,178,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VJ979A,积优永生A类,多资产策略,复合策略,上海积优,2022-04-07,+0.75%,+13.85%,+0.94%,+3.13%,+30.79%,1.2890,2.2127,7,私募基金 (3).xlsx,Y,Y,N,Y,积优永生A类,1.072600,2026-09-04,246,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VK096A,北京雪球聚宝低波精选FOFA类,组合策略,FOF,北京雪球,2022-04-29,-0.09%,+2.10%,+0.89%,+1.91%,-0.73%,-0.6825,-0.1673,7,私募基金 (4).xlsx,Y,Y,N,Y,北京斯诺波瑞雪均衡FOF1号A类,1.147300,2026-09-04,225,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VK096B,北京雪球聚宝低波精选FOFB类,组合策略,FOF,北京雪球,2022-04-29,-0.09%,+2.10%,+0.89%,+1.91%,-0.73%,-0.6825,-0.1673,7,私募基金 (4).xlsx,Y,Y,N,Y,北京斯诺波瑞雪均衡FOF1号B类,1.147300,2026-09-04,225,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VL519A,红蓝牧INT季添利逸享A类,期货策略,量化期货,浙江红蓝牧投资,2022-08-12,0.00%,+0.69%,-0.49%,-1.36%,+3.69%,0.5794,1.4475,7,私募基金.xlsx,Y,Y,N,Y,红蓝牧INT季添利逸享A类,1.019000,2026-09-04,72,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VM387B,尚艺量化全天候中波动版1号B类,多资产策略,复合策略,北京尚艺,2022-04-14,-0.26%,+3.23%,+4.64%,+4.47%,,,,4,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
VM590A,金和晟明心宏观对冲6号A类,多资产策略,宏观策略,上海金和晟,2022-04-18,+1.20%,+4.54%,-0.95%,-3.75%,+32.76%,1.2884,2.0531,7,私募基金 (3).xlsx,Y,Y,N,Y,金和晟明心宏观对冲6号A类,1.640100,2026-09-04,84,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VM922A,宣夜至信季添利一号A类,期货策略,量化期货,上海宣夜投资,2022-05-13,+0.44%,+1.97%,-1.04%,+2.44%,+4.21%,0.4976,1.0824,7,私募基金.xlsx,Y,Y,N,Y,宣夜至信季添利一号A类,1.081100,2026-09-04,241,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VM951A,广金美好卡尼曼三号A类,多资产策略,复合策略,广东横琴广鑫美好,2022-04-28,+1.32%,+7.29%,-2.90%,-3.50%,-2.10%,-0.3356,-0.1494,7,私募基金 (3).xlsx,Y,Y,N,Y,广金美好卡尼曼三号A类,1.230800,2026-09-10,84,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
VN043A,铨景成长1号A类,多资产策略,复合策略,泉州铨景,2022-04-22,+0.02%,+0.11%,,,,,,2,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
VN559A,富礼鲲鹏稳健一号A类,期货策略,主观期货,海南富礼,2022-05-09,+0.95%,-0.52%,-0.81%,-0.47%,+1.83%,-0.0193,0.2580,7,私募基金.xlsx,Y,Y,N,Y,富礼鲲鹏稳健一号A类,0.986300,2026-09-04,242,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-21 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
VP121A,钧誉酬勤量化3号A类,套利策略,期货套利,珠海钧誉资管,2022-05-05,+0.03%,+0.49%,0.00%,+2.96%,,,,4,私募基金 (1).xlsx,Y,Y,N,Y,钧誉酬勤量化3号A类,1.185400,2026-09-09,160,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,no_data,N
VP121B,钧誉酬勤量化3号B类,套利策略,期货套利,珠海钧誉资管,2022-05-05,+0.03%,+0.40%,-0.08%,+2.74%,,,,4,私募基金 (1).xlsx,Y,Y,N,Y,钧誉酬勤量化3号B类,1.178900,2026-09-09,146,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,no_data,N
VP162A,观理摘金成长1号A类,期货策略,主观期货,广东观理,2022-05-12,+0.74%,+7.46%,+29.66%,+48.29%,+64.01%,2.7664,4.0022,7,私募基金.xlsx,Y,Y,N,Y,观理摘金成长1号A类,0.852785,2026-09-11,855,2026-09-08,989,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-08,ok,N
VP165A,观理摘金稳健1号A类,期货策略,主观期货,广东观理,2022-05-09,+0.47%,+4.87%,+19.12%,+31.19%,+40.12%,2.5167,3.7146,7,私募基金.xlsx,Y,Y,N,Y,观理摘金稳健1号A类,1.287900,2026-09-11,983,2026-09-09,993,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-09,ok,N
