备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
AAM64A,泱泱中国宏观维洛1号A类,多资产策略,宏观策略,南京泱泱,2023-08-28,私募基金 (3).xlsx,Y,Y,N,Y,泱泱中国宏观维洛1号A类,1.270500,2026-09-04,185,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AAQ29C,嘉合杉升多策略太和二号C类,多资产策略,复合策略,杭州嘉合杉升,2023-09-28,私募基金 (3).xlsx,Y,Y,N,Y,嘉合杉升多策略太和二号C类,1.342800,2026-09-04,118,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AAY83B,思瑞乾元宏观B类,多资产策略,宏观策略,海南思瑞,2023-09-18,私募基金 (3).xlsx,Y,Y,N,Y,思瑞乾元宏观B类,1.544000,2026-09-04,125,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AAY94B,九招筑金多策略稳健1号B类,多资产策略,宏观策略,武汉九招,2023-09-15,私募基金 (3).xlsx,Y,Y,N,Y,九招筑金多策略稳健1号B类,1.062700,2026-05-22,150,2026-05-22,0,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-07-31 before 2026-08; do not pay weekly unless policy changed,,
AAZ36A,嘉和传承稳健对冲二期A类,多资产策略,宏观策略,上海嘉和传承,2023-10-18,私募基金 (3).xlsx,Y,Y,N,Y,嘉和传承稳健对冲二期A类,1.013300,2026-05-22,37,2026-05-22,0,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-07-24 before 2026-08; do not pay weekly unless policy changed,,
ABB16A,国合全球宏观配置A类,多资产策略,宏观策略,深圳国合基金,2023-09-13,私募基金 (3).xlsx,Y,Y,N,Y,国合全球宏观配置A类,1.458200,2026-08-28,162,2026-08-28,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-08-28,no_data
ABB21A,宣夜投资晨曦一号A类,多资产策略,复合策略,上海宣夜投资,2023-09-20,私募基金 (3).xlsx,Y,Y,N,Y,宣夜投资晨曦一号A类,1.359500,2026-09-04,50,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ABG50B,金麦穗金秋稳健一号B类,期货策略,主观期货,山东金麦穗,2023-10-23,私募基金.xlsx,Y,Y,N,Y,金麦穗金秋稳健一号B类,1.058900,2026-09-04,82,2026-09-04,357,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok
ABN21B,和熙适中B类,期货策略,量化期货,浙江和熙资管,2023-10-17,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ABP22A,兰盈阿尔法俱乐部1号A类,期权策略,场内期权,上海兰盈量投,2023-10-18,私募基金 (2).xlsx,N,N,N,Y,,,,0,,73,0,0,N,not_in_universe,,,,
ABR09A,银乾檀树1号A类,组合策略,FOF,杭州银乾,2023-10-24,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ACA69A,兰盈金期2号A类,期货策略,量化期货,上海兰盈量投,2024-04-15,私募基金.xlsx,Y,Y,N,Y,兰盈金期2号A类,1.029000,2026-09-04,46,2026-09-04,113,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACG52B,千衍六贞1号B类,多资产策略,复合策略,上海千衍,2023-10-23,私募基金 (3).xlsx,Y,Y,N,Y,千衍六贞1号B类,1.598600,2026-08-28,155,2026-08-28,638,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-08-28,no_data
ACJ77A,嘉和传承精研倍赢一期A类,套利策略,期货套利,上海嘉和传承,2023-11-14,私募基金 (1).xlsx,Y,Y,Y,Y,嘉和传承精研倍赢一期A类,1.341000,2026-09-04,153,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACN67A,涌成紫气东来期权一号A类,期权策略,场内期权,杭州涌成资管,2024-04-03,私募基金 (2).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ACQ53A,启星权胜A类,期权策略,场内期权,北京启星,2023-11-24,私募基金 (2).xlsx,Y,Y,N,Y,启星权胜A类,1.219500,2026-09-04,152,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACQ53B,启星权胜B类,期权策略,场内期权,北京启星,2023-11-24,私募基金 (2).xlsx,Y,Y,N,Y,启星权胜B类,1.116800,2026-09-04,154,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACR02B,明睿恒耀策略B类,期货策略,主观期货,北京明睿,2023-10-27,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ACS06A,敦和芝诺多资产量化1号A类,多资产策略,宏观策略,敦和资管,2023-11-10,私募基金 (3).xlsx,Y,Y,N,Y,敦和芝诺多资产量化1号A类,0.957500,2026-09-04,89,2026-09-04,21,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACS47A,中益仁夏承千水A类,套利策略,期货套利,日照中益仁,2024-04-12,私募基金 (1).xlsx,Y,Y,N,Y,中益仁夏承千水A类,1.013900,2026-05-22,115,2026-05-22,0,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-07-17 before 2026-08; do not pay weekly unless policy changed,,
ACV09A,懿德财富远见成长A类,多资产策略,宏观策略,深圳懿德财富投资,2023-11-10,私募基金 (3).xlsx,Y,Y,N,Y,懿德财富远见成长A类,1.568700,2026-09-04,156,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ACV09B,懿德财富远见成长B类,多资产策略,宏观策略,深圳懿德财富投资,2023-11-10,私募基金 (3).xlsx,Y,Y,N,Y,懿德财富远见成长B类,1.532500,2026-09-04,85,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
