beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SAMJ60,榕树海北证选股1号,2026-08-28,0.812300,2026-08-28,0.812300,2026-08-28,1个月内,,weekly
SAMM31,方普致远六号私募证券投资基金,2026-08-28,1.048200,2026-08-28,1.048200,2026-08-28,1个月内,,weekly
SANJ34,博衍医疗健康1号,2026-08-28,1.707700,2026-08-28,1.707700,2026-08-28,1个月内,,weekly
SANT29,榕树海中证500指数增强2号,2026-08-28,1.601300,2026-08-28,1.601300,2026-08-28,1个月内,,weekly
SAPM41,坤望隆盛专享1号,2026-08-28,2.243000,2026-08-28,2.243000,2026-08-28,1个月内,,weekly
SAPR48,磐松核心资产指数增强进取1号,2026-08-28,1.592200,2026-08-28,1.592200,2026-08-28,1个月内,,weekly
SAPV41,五矿期货宏观金手指三号集合资产管理计划,2026-08-28,1.242500,2026-08-28,1.242500,2026-08-28,1个月内,,weekly
SAPX61,博衍九溪CTA2号,2026-08-28,1.528700,2026-08-28,1.528700,2026-08-28,1个月内,,weekly
SAQL48,天辉雷诺1号中证1000指数增强,2026-08-28,1.363400,2026-08-28,1.363400,2026-08-28,1个月内,,weekly
SAQM86,香农吉祥500指增一号,2026-08-28,1.402600,2026-08-28,1.402600,2026-08-28,1个月内,,weekly
SARD05,榕树海中证1000指数增强1号,2026-08-28,1.665300,2026-08-28,1.665300,2026-08-28,1个月内,,weekly
SART78,涵德量化15号,2026-08-28,1.410100,2026-08-28,1.410100,2026-08-28,1个月内,,weekly
SARV98,正瀛骐骥指数增强17号,2026-08-28,1.686500,2026-08-28,1.686500,2026-08-28,1个月内,,weekly
SARZ77,波克宏观配置1号,2026-08-28,1.489300,2026-08-28,1.489300,2026-08-28,1个月内,,weekly
SASF46,骐邦-骐纵多策略低波精选,2026-08-28,1.058100,2026-08-28,1.058100,2026-08-28,1个月内,,weekly
SASK46,鸣熙沪港深红利精选1号,2026-08-28,1.233900,2026-08-28,1.233900,2026-08-28,1个月内,,weekly
SASL69,古木辉耀成长,2026-08-28,1.015000,2026-08-28,1.015000,2026-08-28,1个月内,,weekly
SASV13,正定中证A500指数增强2号,2026-08-28,1.525000,2026-08-28,1.525000,2026-08-28,1个月内,,weekly
SATD70,蜂起全球均衡配置1号私募证券投资基金,2026-08-28,1.408100,2026-08-28,1.408100,2026-08-28,1个月内,,weekly
SATL50,弈倍A500核心资产精选一号,2026-08-28,1.408200,2026-08-28,1.408200,2026-08-28,1个月内,,weekly
SATR26,珏朔翼陇,2026-08-28,1.245000,2026-08-28,1.245000,2026-08-28,1个月内,,weekly
SAUD63,正定量化选股1号,2026-08-28,1.634800,2026-08-28,1.634800,2026-08-28,1个月内,,weekly
SAUT50,瀛岳智利,2026-08-28,1.329600,2026-08-28,1.329600,2026-08-28,1个月内,,weekly
