beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_inception_date,fof99_fund_state,fof99_fund_type,fof99_strategy_one,fof99_strategy_two,in_private_fund_info,list_product_name,list_nav_date,list_nav,table_bucket,in_amac,amac_fund_name,amac_working_state,amac_fund_type,amac_manager,missing_reason
SAEJ68,禧悦稳健三石2号私募证券投资基金,禧悦稳健三石2号,北京禧悦,2026-09-03,0.7164,2026-05-08,1,2,股票多头,,yes,禧悦稳健三石2号私募证券投资基金,,,null_nav_date,yes,禧悦稳健三石2号私募证券投资基金,正在运作,私募证券投资基金,北京禧悦私募基金管理有限公司,in_table_null_latest_nav_date
SADJ97,量子智盈8号私募证券投资基金,量子智盈8号,北京量子金服资管,2026-09-03,1.0039,2026-05-29,1,2,股票多头,,yes,量子智盈8号私募证券投资基金,,,null_nav_date,yes,量子智盈8号私募证券投资基金,正在运作,,北京量子金服资产管理有限责任公司,in_table_null_latest_nav_date
NA882B,潼骁新资产2号私募证券投资基金B类份额,潼骁新资产2号B类,潼骁投资,2026-09-03,0.9231,2020-11-19,1,2,多资产策略,复合策略,no,,,,not_in_table,no,,,,,not_in_private_fund_info
BSF60B,睿启科技智选专享私募证券投资基金B类份额,睿启科技智选专享B类,无锡睿启,2026-09-03,1.1466,2026-03-02,1,2,股票多头,主观多头,no,,,,not_in_table,no,,,,,not_in_private_fund_info
BJR76C,兰盈量曜中证2000增强1号私募证券投资基金C类份额,兰盈量曜中证2000增强1号C类,上海兰盈量投,2026-09-03,1.0351,2026-01-19,1,2,股票多头,2000指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
BJR76B,兰盈量曜中证2000增强1号私募证券投资基金B类份额,兰盈量曜中证2000增强1号B类,上海兰盈量投,2026-09-03,1.0352,2026-01-19,1,2,股票多头,2000指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
BJR76A,兰盈量曜中证2000增强1号私募证券投资基金A类份额,兰盈量曜中证2000增强1号A类,上海兰盈量投,2026-09-03,1.0351,2026-01-19,1,2,股票多头,2000指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AZC80A,路远睿泽8号私募证券投资基金A类份额,路远睿泽8号A类,海南路远,2026-09-03,1.5649,2025-05-30,1,2,多资产策略,宏观策略,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AXH50A,九木CTA1号私募证券投资基金A类份额,九木CTA1号A类,深圳九木,2026-09-03,1.2817,2025-04-22,1,2,期货策略,量化期货,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AVV99B,简文致盛尊享一号私募证券投资基金B类份额,简文致盛尊享一号B类,上海简文,2026-09-03,1.4746,2025-03-21,1,2,股票对冲,择时对冲,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AVU70B,富赢尊享2号私募证券投资基金B类份额,富赢尊享2号B类,富赢资产,2026-09-03,1.3281,2025-04-18,1,2,股票多头,量化选股,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AUH74C,东源A500指数策略鑫享1号私募证券投资基金C类份额,东源A500指数策略鑫享1号C类,天津东源投资,2026-09-03,1.095,2025-02-25,1,2,股票多头,A500指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AUH74B,东源A500指数策略鑫享1号私募证券投资基金B类份额,东源A500指数策略鑫享1号B类,天津东源投资,2026-09-03,1.099,2025-02-25,1,2,股票多头,A500指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AUH74A,东源A500指数策略鑫享1号私募证券投资基金A类份额,东源A500指数策略鑫享1号A类,天津东源投资,2026-09-03,1.107,2025-02-25,1,2,股票多头,A500指增,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AEB28C,瀛赐创瀛私募证券投资基金C类份额,瀛赐创瀛C类,上海瀛赐,2026-09-03,1.9124,2024-01-15,1,2,股票多头,主观多头,no,,,,not_in_table,no,,,,,not_in_private_fund_info
ADB38A,皓然拓实七号私募证券投资基金A类份额,皓然拓实七号A类,北京皓然投资,2026-09-03,2.2637,2023-11-06,1,2,多资产策略,宏观策略,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AAK02A,吉余李字壹号私募证券投资基金A类份额,吉余李字壹号A类,上海吉余,2026-09-03,1.1408,2023-08-29,1,2,期货策略,主观期货,no,,,,not_in_table,no,,,,,not_in_private_fund_info
AAH58C,梵星咬金2号私募证券投资基金C类份额,梵星咬金2号C类,上海梵星,2026-09-03,2.607,2025-02-20,1,2,股票多头,主观多头,no,,,,not_in_table,no,,,,,not_in_private_fund_info
ZS789A,广金庄周桥梁2号私募证券投资基金A类份额,广金庄周桥梁2号A类,广州广金,2026-09-02,7.9829,2023-04-11,1,2,股票多头,主观多头,no,,,,not_in_table,no,,,,,not_in_private_fund_info
XU800C,大道寰球全球精选组合三号私募证券投资基金C类份额,大道寰球全球精选组合三号C类,宁波大道寰球,2026-09-02,1.9727,2022-11-25,1,2,股票多头,主观多头,no,,,,not_in_table,no,,,,,not_in_private_fund_info
VN043A,铨景成长1号私募证券投资基金A类份额,铨景成长1号A类,泉州铨景,2026-09-02,0.8545,2022-04-22,1,2,多资产策略,复合策略,no,,,,not_in_table,no,,,,,not_in_private_fund_info
SZS789,广金庄周桥梁2号私募证券投资基金,广金庄周桥梁2号,广州广金,2026-09-02,7.9829,2023-04-11,1,2,股票多头,主观多头,yes,广金庄周桥梁2号私募证券投资基金,,,null_nav_date,yes,广金庄周桥梁2号私募证券投资基金,正在运作,,广州广金私募基金管理有限公司,in_table_null_latest_nav_date
SZK291,宽德中证500指数增强33号私募证券投资基金,宽德中证500指数增强33号,珠海宽德,2026-09-02,1.368,2023-03-27,1,2,股票多头,500指增,yes,宽德中证500指数增强33号私募证券投资基金,,,null_nav_date,yes,宽德中证500指数增强33号私募证券投资基金,正在运作,,珠海宽德私募基金管理有限公司,in_table_null_latest_nav_date
SXU137,品润鲸鲨二号私募证券投资基金,品润鲸鲨二号,浙江品润投资,2026-09-02,1.2283,2022-12-12,1,2,股票多头,主观多头,yes,品润鲸鲨二号私募证券投资基金,,,null_nav_date,yes,品润鲸鲨二号私募证券投资基金,正在运作,,浙江品润投资管理有限公司,in_table_null_latest_nav_date
SXS212,望水泉涓流1号私募证券投资基金,望水泉涓流1号,山东望水泉,2026-09-02,1.0075,2022-12-01,1,2,债券策略,,yes,望水泉涓流1号私募证券投资基金,,,null_nav_date,yes,望水泉涓流1号私募证券投资基金,正在运作,,山东望水泉私募投资基金有限公司,in_table_null_latest_nav_date
ST9166,东宏蓝筹进取1号私募证券投资基金,东宏蓝筹进取1号,山东东宏,2026-09-02,4.928,2017-06-23,1,2,股票多头,主观多头,yes,东宏蓝筹进取1号私募证券投资基金,,,null_nav_date,yes,东宏蓝筹进取1号私募证券投资基金,正在运作,,山东东宏私募基金管理有限公司,in_table_null_latest_nav_date
SS5414,创金FOF一号基金,创金FOF一号基金,嘉兴明道投资,2026-09-02,2.172,2015-03-31,1,2,组合策略,FOF,yes,创金FOF一号基金,,,null_nav_date,yes,创金FOF一号基金,正在运作,,嘉兴明道投资管理有限公司,in_table_null_latest_nav_date
SQS445,格林施通大鹏湾财富二十四期私募证券投资基金,格林施通大鹏湾财富二十四期,深圳格林施通,2026-09-02,0.921,2021-06-08,1,2,股票多头,主观多头,yes,格林施通大鹏湾财富二十四期私募证券投资基金,,,null_nav_date,yes,格林施通大鹏湾财富二十四期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SQK991,格林施通大鹏湾财富二十二期私募证券投资基金,格林施通大鹏湾财富二十二期,深圳格林施通,2026-09-02,0.86,2021-05-14,1,2,股票多头,主观多头,yes,格林施通大鹏湾财富二十二期私募证券投资基金,,,null_nav_date,yes,格林施通大鹏湾财富二十二期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SQA413,格林施通大鹏湾财富二十一期私募证券投资基金,格林施通大鹏湾财富二十一期,深圳格林施通,2026-09-02,1.048,2021-03-12,1,2,股票多头,主观多头,yes,格林施通大鹏湾财富二十一期私募证券投资基金,,,null_nav_date,yes,格林施通大鹏湾财富二十一期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SNQ839,格林施通大鹏湾财富十九期私募证券投资基金,格林施通大鹏湾财富十九期,深圳格林施通,2026-09-02,1.06,2021-01-15,1,2,股票多头,主观多头,yes,格林施通大鹏湾财富十九期私募证券投资基金,,,null_nav_date,yes,格林施通大鹏湾财富十九期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SLL263,格林施通大鹏湾财富十六期私募证券投资基金,格林施通大鹏湾财富十六期,深圳格林施通,2026-09-02,1.0777,2020-07-24,1,2,股票多头,主观多头,yes,格林施通大鹏湾财富十六期私募证券投资基金,,,null_nav_date,yes,格林施通大鹏湾财富十六期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SGV264,宽德睿昕春晓9号私募证券投资基金,宽德睿昕春晓9号,珠海宽德,2026-09-02,0.982,2019-07-26,1,2,期货策略,量化期货,yes,宽德睿昕春晓9号私募证券投资基金,,,null_nav_date,yes,宽德睿昕春晓9号私募证券投资基金,正在运作,,珠海宽德私募基金管理有限公司,in_table_null_latest_nav_date
SEW407,宽德睿昕对冲1号私募证券投资基金,宽德睿昕对冲1号,珠海宽德,2026-09-02,1.1309,2018-12-20,1,2,股票对冲,股票市场中性,yes,宽德睿昕对冲1号私募证券投资基金,,,null_nav_date,yes,宽德睿昕对冲1号私募证券投资基金,正在运作,,珠海宽德私募基金管理有限公司,in_table_null_latest_nav_date
SBTF72,富腾大象06号平衡增长私募证券投资基金,富腾大象06号平衡增长,深圳富腾,2026-09-02,0.842,2026-05-11,1,2,股票多头,,yes,富腾大象06号平衡增长私募证券投资基金,,,null_nav_date,yes,富腾大象06号平衡增长私募证券投资基金,正在运作,私募证券投资基金,深圳市富腾私募证券基金管理有限公司,in_table_null_latest_nav_date
SBQA38,理博晨星6号私募证券投资基金,理博晨星6号,杭州理博,2026-09-02,0.9539,2026-01-22,1,2,股票多头,,yes,理博晨星6号私募证券投资基金,,,null_nav_date,yes,理博晨星6号私募证券投资基金,正在运作,私募证券投资基金,杭州理博私募基金管理有限公司,in_table_null_latest_nav_date
SBNQ36,吉余翔元1号私募证券投资基金,吉余翔元1号,上海吉余,2026-09-02,1.6469,2026-01-16,1,2,期货策略,,yes,吉余翔元1号私募证券投资基金,,,null_nav_date,yes,吉余翔元1号私募证券投资基金,正在运作,私募证券投资基金,上海吉余私募基金管理有限公司,in_table_null_latest_nav_date
