beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
SBCK34,山信至诚一号私募证券投资基金,2026-09-04,1.012000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0123
SBCE99,汇智晨星-星耀1号私募证券投资基金,2026-09-04,1.062900,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.055
SBCE40,衡颐嘉选1号私募证券投资基金,2026-09-04,0.934400,,,2026-09-04,1个月以内,no_data,skip,,,
SBBX56,青蚨万华1号私募证券投资基金,2026-09-04,1.213400,,,2026-09-04,1个月以内,no_data,skip,,,
SBBC58,罗维盈安启航LS六号私募证券投资基金,2026-09-04,1.030000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.032
SBBC18,贞元强势1号私募证券投资基金,2026-09-04,0.984600,,,2026-09-04,1个月以内,no_data,skip,,,
SBAH99,荣熙恒盈2号私募证券投资基金,2026-09-04,1.315500,,,2026-09-04,1个月以内,no_data,skip,,,
SBAD05,山信滔滔一号私募证券投资基金,2026-09-04,1.014300,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.0406
SB9512,磐松微盘股指数增强1号,2026-09-04,2.444000,2026-09-04,2.444000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-09-03,2.4628
SB6536,铭跃行远均衡专享二号私募证券投资基金,2026-09-04,1.179000,,,2026-09-04,1个月以内,no_data,skip,,,
SB5759,汉鸿无量一号,2026-09-04,1.435600,2026-05-27,1.475500,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-09-03,1.4422
SB4982,鋆晟衡泰进取1号,2026-09-04,1.028800,2026-05-22,1.128000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.0316
SB2635,嘉鸿复利3号私募证券投资基金,2026-09-04,1.041900,,,2026-09-04,1个月以内,no_data,skip,,,
SB0905,赢仕天府私募证券投资基金,2026-09-04,1.070000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-09-03,1.083
SAZJ17,众量资产添运进取1号,2026-09-04,0.986104,2026-05-22,1.503400,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,0.9992
SAZH88,金时信星际风云一号私募证券投资基金,2026-09-04,0.695400,,,2026-09-04,1个月以内,no_data,skip,,,
SAYL42,顽岩中证A500指数增强3号私募证券投资基金,2026-09-04,1.282600,,,2026-09-04,1个月以内,no_data,skip,,,
SAXX01,君信专享2号私募证券投资基金,2026-09-04,1.044689,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0444
SAXL81,众量资产聚宝5号,2026-09-04,1.142100,2026-05-22,1.096700,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.1389
SAXK98,罗维盈安启航共赢1号私募证券投资基金,2026-09-04,0.975000,,,2026-09-04,1个月以内,no_data,skip,,,
SAXE84,汇智晨星-启晨1号私募证券投资基金,2026-09-04,1.125500,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.1289
SAXD10,众量资产添运5号,2026-09-04,1.558900,2026-05-22,1.668800,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.6044
SAWV62,正合弘毅1号私募证券投资基金,2026-09-04,1.126800,,,2026-09-04,1个月以内,no_data,skip,,,
SAVY66,华年中证1000指数增强1号,2026-09-04,1.744900,2026-08-28,1.782900,2026-09-04,1个月以内,,weekly,advancedlist,2026-08-28,1.7829
SAVV28,众量资产聚宝4号私募证券投资基金,2026-09-04,1.260600,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.2658
SAVM35,笃熙禀泰渊流1号私募证券投资基金,2026-09-04,1.180000,,,2026-09-04,1个月以内,no_data,skip,,,
SAVF39,棕榈滩泰来私募证券投资基金,2026-09-04,1.228100,,,2026-09-04,1个月以内,no_data,skip,,,
SAVE71,正合凌云1号,2026-09-04,1.768100,2026-05-22,1.872200,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.8037
SAUV26,邦客鼎成精选私募证券投资基金,2026-09-04,1.319000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-25,1.327
SAUR63,众量多元化CTA1号私募证券投资基金,2026-09-04,1.148000,,,2026-09-04,1个月以内,no_data,skip,,,
SAUK80,正合景行1号私募证券投资基金,2026-09-04,1.157800,,,2026-09-04,1个月以内,no_data,skip,,,
SAUC12,中碳价值精选3号私募证券投资基金,2026-09-04,0.990000,,,2026-09-04,1个月以内,no_data,skip,,,
SASX99,澜熙险峰1号私募证券投资基金,2026-09-04,1.262000,,,2026-09-04,1个月以内,no_data,skip,,,
SASB96,六妙星滚雪粒1号,2026-09-04,1.541400,2026-05-22,1.533200,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.5599
SARL06,润洲笃行致远一号私募证券投资基金,2026-09-04,1.108200,,,2026-09-04,1个月以内,no_data,skip,,,
SAQW56,君信选股1号,2026-09-04,1.133000,2026-05-22,1.328500,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.2202
SAPY25,奇盾安富尊荣3号私募证券投资基金,2026-09-04,1.259000,,,2026-09-04,1个月以内,no_data,skip,,,
SAPF49,罗维盈安启航量化优选1号,2026-09-04,1.304000,2026-05-22,1.470000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.298
SAPB34,中谦星辰一号私募证券投资基金,2026-09-04,1.345100,2026-09-04,1.345100,2026-09-04,1个月以内,,weekly,advancedlist,2026-08-28,1.3363
SANB54,华年中性1号,2026-09-04,1.290000,2026-05-22,1.264000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.287
SAMS33,思瑞宽流宏观量化私募证券投资基金,2026-09-04,2.188500,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,2.1587
SALF51,乾上泉对冲一号,2026-09-04,1.003700,2026-05-22,1.019400,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0036
SALC59,诚奇睿盈优选运作2号私募证券投资基金,2026-09-04,2.388600,,,2026-09-04,1个月以内,no_data,skip,,,
SAHZ51,鸣石CTA套利1号量化私募证券投资基金,2026-09-04,1.157100,,,2026-09-04,1个月以内,no_data,skip,,,
SAHU56,尚艺量化全天候稳健版12号,2026-09-04,1.059900,2026-05-22,1.037400,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0595
SAHF86,顽岩金选中证1000指数增强1号,2026-09-04,2.193300,2026-05-22,2.545400,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,2.2409
SAGF75,草本慧诚一号,2026-09-04,1.354000,2026-05-22,1.345300,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-24,1.3571
SAGE52,睿富2号私募证券投资基金,2026-09-04,1.138800,,,2026-09-04,1个月以内,no_data,skip,,,
SAEV89,茂源金选沪深300指数增强1号私募证券投资基金,2026-09-04,1.814500,,,2026-09-04,1个月以内,no_data,skip,,,
SAEU36,嘉鸿璞真-聚配3号私募证券投资基金,2026-09-04,1.166800,,,2026-09-04,1个月以内,no_data,skip,,,
