来源,产品名称,备案编码,产品全称,备案编号,基金管理人,投资顾问,成立日期,备案日期,托管券商,基金经理,开放日,是否可临开,申购费,追加限制,赎回费,预警线,封闭期,平仓线,管理费率,管理费说明,托管费,行政外包服务费,业绩报酬说明,管理规模,登记编号
团队跟踪,子午1000气囊指数增强五号B类,AAQ56B,子午1000气囊指数增强五号私募证券投资基金B类份额,AAQ56B,上海子午投资,,2023-09-15,2023-09-15,招商证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,,每次追加申购的最低金额为10万元人民币。,,0.8,成立后180天（已结束）。,0.75,0,,0.025%/年,0.025%/年,,100亿元以上,P1010078
团队跟踪,正定中证500指数增强1号私募证券投资基金B类份额,AAT35B,正定中证500指数增强1号私募证券投资基金B类份额,AAT35B,北京正定,,2023-09-14,2023-09-20,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1073791
团队跟踪,正定中证1000指数增强1号私募证券投资基金B类份额,AAT36B,正定中证1000指数增强1号私募证券投资基金B类份额,AAT36B,北京正定,,2023-10-27,2023-11-01,国泰君安证券股份有限公司,,,否,,,,,,,0.01,,,,,100亿元以上,P1073791
团队跟踪,宁水国债宝2号一期私募证券投资基金A类份额,AAV43A,宁水国债宝2号一期私募证券投资基金A类份额,AAV43A,厦门宁水,,2023-09-05,2023-09-14,中信证券股份有限公司,,,否,,,,,,,0,,,,,20-50亿元,P1066639
团队跟踪,宁水国债宝2号一期私募证券投资基金B类份额,AAV43B,宁水国债宝2号一期私募证券投资基金B类份额,AAV43B,厦门宁水,,2023-09-05,2023-09-14,中信证券股份有限公司,,每周二、四,否,1%,首次申购金额应不低于100万元人民币（不含申购费）且符合合格投资 者标准，在开放日内追加申购的，每次追加申购的金额不设限制。,无,,无,,0.01,A类份额1.5%/年， B类份额1%；C类份额0%,0.01%,0.01%,"本基金的业绩报酬在业绩报酬计提基准日（【除息日（若有）、赎回申
请日和基金终止日】）提取，基金管理人对A类基金份额持有人的收益
部分提取【20】%作为业绩报酬，对B类基金份额持有人的收益部分提取
【16】%作为业绩报酬。",20-50亿元,P1066639
团队跟踪,宁水国债宝2号一期私募证券投资基金C类份额,AAV43C,宁水国债宝2号一期私募证券投资基金C类份额,AAV43C,厦门宁水,,2023-09-05,2023-09-14,中信证券股份有限公司,,,否,,,,,,,0,,,,,20-50亿元,P1066639
团队跟踪,鲁民投中证500指数增强二号私募证券投资基金A类份额,AAV96A,鲁民投中证500指数增强二号私募证券投资基金A类份额,AAV96A,鲁民投基金,,2023-09-07,2023-09-07,华鑫证券有限责任公司,,,否,,,,,,,0,,,,,100亿元以上,P1069017
团队跟踪,鲁民投中证500指数增强二号私募证券投资基金B类份额,AAV96B,鲁民投中证500指数增强二号私募证券投资基金B类份额,AAV96B,鲁民投基金,,2023-09-07,2023-09-07,华鑫证券有限责任公司,,,否,,,,,,,0,,,,,100亿元以上,P1069017
团队跟踪,量道行远3号私募证券投资基金A类份额,AAW78A,量道行远3号私募证券投资基金A类份额,AAW78A,深圳量道投资,,2023-09-07,2023-09-12,兴业证券股份有限公司,,每个开放日,否,0,1,<180天为1%，>=180天为0%,0.7,,0.6,0.01,,0.015%/年,0.015%/年,"1）采用单个投资者单笔高水位净值法，计提比例20%；
2）计提时点为赎回日、基金终止日、分红日、固定结算日（每年12月第4个周五）",100亿元以上,P1016658
团队跟踪,锋滔多空对冲5号私募证券投资基金A类份额,AAY91A,锋滔多空对冲5号私募证券投资基金A类份额,AAY91A,上海锋滔资管,,2023-09-08,2023-09-22,华泰证券股份有限公司,,每个交易日,否,1%,,持有期小于180天，赎回费率为1%；持有期大等于180天，赎回费率为0%,,无,,0.015,,0.02%,0.02%,18%(固定时点是指基金成立后每年6月及12月最后一个交易曰),0-5亿元,P1007210
团队跟踪,锦徽乐水2号私募证券投资基金A类份额,AAZ62A,锦徽乐水2号私募证券投资基金A类份额,AAZ62A,上海锦徽,,2023-09-11,2023-09-14,国泰君安证券股份有限公司,,每周周一、周三、周五,否,0%,,0%,,无,,0.01,,0.01%,0.01%,单笔份额高水位净值法，赎回、分红、清算日计提，对基金资产增值部分按【20】%比例进行计提,5-10亿元,P1074392
团队跟踪,半鞅量化多空1号B类,ABG12B,半鞅量化多空1号私募证券投资基金B类份额,ABG12B,半鞅基金,,2023-09-25,2023-09-28,中信证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1072919
团队跟踪,金麦穗金秋稳健一号私募证券投资基金B类份额,ABG50B,金麦穗金秋稳健一号私募证券投资基金B类份额,ABG50B,山东金麦穗,,2023-10-23,2023-11-07,华泰证券股份有限公司,,"申购：每日
赎回：每周第二个交易日",否,免,,免,0.95,无,0.9,0.01,免1%申购费、免180天0.3%赎回费（口头）,0.01%,0.01%,20%,0-5亿元,P1023272
团队跟踪,峰云汇高原一号私募证券投资基金B类份额,ABH69B,峰云汇高原一号私募证券投资基金B类份额,ABH69B,深圳峰云汇,,2026-04-20,,,,每周周二、周三,可临开赎回,0%,,持有期小于3个月，赎回费率为0.75%；持有期大等于3个月，赎回费率为0%,,无,,0.015,,0.01%,0.01%,30%,0-5亿元,P1064776
