备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
SCF394,量道吉祥1号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,量道吉祥1号=期货策略/量化期货/股指；量道吉祥6号C类=其他策略；量道吉祥2号=期货策略/量化期货/截面；量道吉祥6号A类=其他策略；量道吉祥6号B类=期货策略/量化期货/股指；量道吉祥6号=其他策略；量道吉祥3号A类=期货策略/量化期货/股指；量道吉祥3号=期货策略/量化期货/股指,,
SW7284,量道吉祥6号私募证券投资基金,深圳量道投资管理有限公司,其他策略,,,高,团队数据已有团队策略,其他策略,期货策略 / 量化期货 / 股指,量道吉祥6号=其他策略；量道吉祥6号C类=其他策略；量道吉祥2号=期货策略/量化期货/截面；量道吉祥6号A类=其他策略；量道吉祥6号B类=期货策略/量化期货/股指；量道吉祥3号A类=期货策略/量化期货/股指；量道吉祥1号=期货策略/量化期货/股指；量道吉祥3号=期货策略/量化期货/股指,,
SEQ069,量道临风1号私募证券投资基金,深圳量道投资管理有限公司,套利策略,期货套利,,高,团队数据已有团队策略,套利策略 / 期货套利,其他,量道临风1号=套利策略/期货套利；量道临风1号A类=股票对冲/打板,,
SZC435,量道明察1号私募证券投资基金,深圳量道投资管理有限公司,股票对冲,股票市场中性,"500中性,量价,中频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 500中性,量价,中频","股票对冲 / 股票市场中性 / 中频,量价,500中性","量道明察1号=股票对冲/股票市场中性/500中性,量价,中频；量道明察2号=股票对冲/股票市场中性/机器学习,中频；量道明察1号B类=股票对冲/股票市场中性/量价,中频；量道明察1号A类=股票对冲/股票市场中性/量价,中频；量道明察2号A类=股票对冲/股票市场中性/中频",,
SASQ14,量道明察2号私募证券投资基金,深圳量道投资管理有限公司,股票对冲,股票市场中性,"机器学习,中频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 机器学习,中频",股票对冲 / 股票市场中性,"量道明察2号=股票对冲/股票市场中性/机器学习,中频；量道明察1号B类=股票对冲/股票市场中性/量价,中频；量道明察1号A类=股票对冲/股票市场中性/量价,中频；量道明察1号=股票对冲/股票市场中性/500中性,量价,中频；量道明察2号A类=股票对冲/股票市场中性/中频",,
SAUA30,量道如是1号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,量道如是1号=期货策略/量化期货/股指,,
SANA98,量道商品套利1号私募证券投资基金,深圳量道投资管理有限公司,期货策略,主观期货,"多板块,交易型",高,团队数据已有团队策略；产品名另指向套利策略/,"期货策略 / 主观期货 / 多板块,交易型",期货策略 / 主观期货,"量道商品套利1号=期货策略/主观期货/多板块,交易型；量道商品套利2号B类=期货策略/主观期货；量道商品套利2号A类=期货策略/主观期货；量道商品套利2号=期货策略/主观期货/多板块；量道商品套利1号B类=期货策略/主观期货/多板块；量道商品套利1号A类=期货策略/主观期货/多板块；量道商品套利5号=期货策略/主观期货/交易型；量道商品套利6号B类=期货策略/主观期货/股指期货,多板块",,
SBJT82,量道商品套利2号私募证券投资基金,深圳量道投资管理有限公司,期货策略,主观期货,多板块,高,团队数据已有团队策略；产品名另指向套利策略/,期货策略 / 主观期货 / 多板块,期货策略 / 主观期货,"量道商品套利2号=期货策略/主观期货/多板块；量道商品套利2号B类=期货策略/主观期货；量道商品套利2号A类=期货策略/主观期货；量道商品套利1号B类=期货策略/主观期货/多板块；量道商品套利1号A类=期货策略/主观期货/多板块；量道商品套利1号=期货策略/主观期货/多板块,交易型；量道商品套利5号=期货策略/主观期货/交易型；量道商品套利6号B类=期货策略/主观期货/股指期货,多板块",,
SVQ692,量道商品套利3号私募证券投资基金,深圳量道投资管理有限公司,期货策略,主观期货,"多板块,交易型",高,团队数据已有团队策略；产品名另指向套利策略/,"期货策略 / 主观期货 / 多板块,交易型",期货策略 / 主观期货,"量道商品套利3号=期货策略/主观期货/多板块,交易型；量道商品套利2号B类=期货策略/主观期货；量道商品套利2号A类=期货策略/主观期货；量道商品套利2号=期货策略/主观期货/多板块；量道商品套利1号B类=期货策略/主观期货/多板块；量道商品套利1号A类=期货策略/主观期货/多板块；量道商品套利1号=期货策略/主观期货/多板块,交易型；量道商品套利5号=期货策略/主观期货/交易型",,
SZT563,量道商品套利5号私募证券投资基金,深圳量道投资管理有限公司,期货策略,主观期货,交易型,高,团队数据已有团队策略；产品名另指向套利策略/,期货策略 / 主观期货 / 交易型,期货策略 / 主观期货,"量道商品套利5号=期货策略/主观期货/交易型；量道商品套利2号B类=期货策略/主观期货；量道商品套利2号A类=期货策略/主观期货；量道商品套利2号=期货策略/主观期货/多板块；量道商品套利1号B类=期货策略/主观期货/多板块；量道商品套利1号A类=期货策略/主观期货/多板块；量道商品套利1号=期货策略/主观期货/多板块,交易型；量道商品套利6号B类=期货策略/主观期货/股指期货,多板块",,
SQL546,量道商品套利6号私募证券投资基金,深圳量道投资管理有限公司,期货策略,主观期货,宏观多策略,高,团队数据已有团队策略；产品名另指向套利策略/,期货策略 / 主观期货 / 宏观多策略,期货策略 / 主观期货,"量道商品套利6号=期货策略/主观期货/宏观多策略；量道商品套利2号B类=期货策略/主观期货；量道商品套利2号A类=期货策略/主观期货；量道商品套利2号=期货策略/主观期货/多板块；量道商品套利1号B类=期货策略/主观期货/多板块；量道商品套利1号A类=期货策略/主观期货/多板块；量道商品套利1号=期货策略/主观期货/多板块,交易型；量道商品套利5号=期货策略/主观期货/交易型",,
SZC421,量道顺风1号私募证券投资基金,深圳量道投资管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,"量道顺风1号=股票多头/指数增强/500指增；量道顺风2号=股票多头/指数增强/500指增,中频；量道顺风3号=股票多头/指数增强/500指增,中频；量道顺风1号B类=股票多头/指数增强/500指增；量道顺风1号A类=股票多头/指数增强/500指增,量价,中频；量道顺风5号=股票多头/指数增强/500指增；量道顺风6号=股票多头/指数增强/500指增",,
SZD115,量道迎风1号私募证券投资基金,深圳量道投资管理有限公司,股票对冲,打板,"量化,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 量化,盘中板",股票对冲 / 择时对冲 / 打板,"量道迎风1号=股票对冲/打板/量化,盘中板；量道迎风1号B类=股票对冲；量道迎风1号A类=股票对冲/打板/量化,盘中板",,
SZC437,量道永峰1号私募证券投资基金,深圳量道投资管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,其他,量道永峰1号=股票多头/指数增强/500指增,,
SZN178,量道悦享1号私募证券投资基金,深圳量道投资管理有限公司,期权策略,场内期权,金融卖波,高,团队数据已有团队策略,期权策略 / 场内期权 / 金融卖波,期权策略 / 场内期权 / 定价卖波,量道悦享1号=期权策略/场内期权/金融卖波；量道悦享1号A类=期货策略/主观期货；量道悦享1号B类=期权策略/场内期权,,
ST4891,量道众盈1号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,截面,高,团队数据已有团队策略,期货策略 / 量化期货 / 截面,股票对冲 / 择时对冲 / 打板,量道众盈1号=期货策略/量化期货/截面,,
SABX12,量道追风1号私募证券投资基金,深圳量道投资管理有限公司,股票对冲,打板,"量化,盘前板",高,团队数据已有团队策略,"股票对冲 / 打板 / 量化,盘前板",股票对冲 / 择时对冲 / 打板,"量道追风1号=股票对冲/打板/量化,盘前板；量道追风1号B类=股票对冲/打板/量化,盘前板；量道追风1号A类=股票对冲/打板/量化,盘前板",,
SLS478,量道CTA精选12号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量道CTA精选12号=期货策略/量化期货/混合；量道CTA精选18号=期货策略/量化期货/混合；量道CTA精选10号=期货策略/量化期货/混合；量道CTA精选16号B类=期货策略/量化期货/混合；量道CTA精选16号A类=期货策略/量化期货/混合；量道CTA精选16号=期货策略/量化期货/混合；量道CTA精选17号=期货策略/量化期货/混合；量道CTA精选17号A类=期货策略/量化期货/混合,,
SNX911,量道CTA精选16A号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量道CTA精选16A号=期货策略/量化期货/混合,,
SNT339,量道CTA精选17A号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量道CTA精选17A号=期货策略/量化期货/混合,,
SQU658,量道CTA精选18号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量道CTA精选18号=期货策略/量化期货/混合；量道CTA精选10号=期货策略/量化期货/混合；量道CTA精选16号B类=期货策略/量化期货/混合；量道CTA精选16号A类=期货策略/量化期货/混合；量道CTA精选16号=期货策略/量化期货/混合；量道CTA精选17号=期货策略/量化期货/混合；量道CTA精选17号A类=期货策略/量化期货/混合；量道CTA精选12号A类=期货策略/量化期货/混合,,
SEE186,量道CTA精选1号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量道CTA精选1号=期货策略/量化期货/混合；量道CTA精选18号=期货策略/量化期货/混合；量道CTA精选10号=期货策略/量化期货/混合；量道CTA精选16号B类=期货策略/量化期货/混合；量道CTA精选16号A类=期货策略/量化期货/混合；量道CTA精选16号=期货策略/量化期货/混合；量道CTA精选17号=期货策略/量化期货/混合；量道CTA精选17号A类=期货策略/量化期货/混合,,
SJV980,量道CTA精选6号私募证券投资基金,深圳量道投资管理有限公司,期货策略,量化期货,"大厂,混合",高,团队数据已有团队策略；产品名含CTA,"期货策略 / 量化期货 / 大厂,混合",期货策略 / 量化期货 / 混合均衡,"量道CTA精选6号=期货策略/量化期货/大厂,混合；量道CTA精选18号=期货策略/量化期货/混合；量道CTA精选10号=期货策略/量化期货/混合；量道CTA精选16号B类=期货策略/量化期货/混合；量道CTA精选16号A类=期货策略/量化期货/混合；量道CTA精选16号=期货策略/量化期货/混合；量道CTA精选17号=期货策略/量化期货/混合；量道CTA精选17号A类=期货策略/量化期货/混合",,
SABQ52,量道cta致远1号私募证券投资基金,深圳量道投资管理有限公司,期权策略,场外期权,,高,团队数据已有团队策略,期权策略 / 场外期权,套利策略 / 期货套利 / 商品套利,量道cta致远1号=期权策略/场外期权；量道cta致远1号A类=套利策略/期货套利,,
SNJ202,量客500指增私募证券投资基金,上海量客私募基金管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略；产品名含500指增,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,量客卓宇一号=股票多头/指数增强/500指增,,
SSF564,量客博宇7号私募证券投资基金,上海量客私募基金管理有限公司,期货策略,量化期货,时序,高,团队数据已有团队策略,期货策略 / 量化期货 / 时序,期货策略 / 量化期货 / 时序,量客博宇7号=期货策略/量化期货/时序,,
SLS845,量客利均一号私募证券投资基金,上海量客私募基金管理有限公司,套利策略,混合套利,,高,团队数据已有团队策略,套利策略 / 混合套利,期货策略 / 量化期货,量客利均一号=套利策略/混合套利,,
SVM504,量客中宇九号私募证券投资基金,上海量客私募基金管理有限公司,期货策略,量化期货,时序,高,团队数据已有团队策略,期货策略 / 量化期货 / 时序,期货策略 / 量化期货 / 时序,量客中宇九号=期货策略/量化期货/时序,,
SLR151,量客卓宇六号私募证券投资基金,上海量客私募基金管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,量客卓宇六号=股票多头/指数增强/500指增,,
SSD319,量魁期权量化一号私募证券投资基金,上海量魁私募基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略；产品名含期权,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 中性波动率交易,量魁期权量化一号=期权策略/场内期权/商品波动率,,
SNK917,量派金选中证500指数增强14号私募证券投资基金,上海量派投资管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略；产品名含500指增,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,"量派金选中证500指数增强14号=股票多头/指数增强/500指增；量派金选中证500指数增强14号B类=股票多头/指数增强/量价,高频,500指增",,
SB4893,量派聚核46号私募证券投资基金,上海量派投资管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,,"量派聚核46号=股票多头；量派聚核20号=股票多头/指数增强/500指增,量价,高频",,
SND175,量派内核1号私募证券投资基金,上海量派投资管理有限公司,股票对冲,股票市场中性,多策略,高,团队数据已有团队策略,股票对冲 / 股票市场中性 / 多策略,股票对冲 / 股票市场中性,量派内核1号=股票对冲/股票市场中性/多策略；量派内核1号A类=股票对冲/股票市场中性,,
SND173,量派优孚专享四十七号私募证券投资基金,上海量派投资管理有限公司,股票对冲,股票市场中性,"300中性,量价,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 300中性,量价,高频","股票对冲 / 股票市场中性 / 高频,量价,300中性","量派优孚专享四十七号=股票对冲/股票市场中性/300中性,量价,高频；量派优孚专享四十七号A类=股票对冲/股票市场中性/300中性,量价,高频",,
SQJ816,量派中证1000增强12号私募证券投资基金,上海量派投资管理有限公司,股票多头,指数增强,"1000指增,量价,高频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,量价,高频","股票多头 / 1000指增 / 高频,量价","量派中证1000增强12号=股票多头/指数增强/1000指增,量价,高频；量派中证1000增强12号C类=股票多头/指数增强/1000指增,量价,高频；量派中证1000增强12号A类=股票多头/指数增强/1000指增,量价,高频",,
SAGZ17,量派CTA八号私募证券投资基金,上海量派投资管理有限公司,股票对冲,股票市场中性,多策略,高,团队数据已有团队策略；产品名另指向期货策略/,股票对冲 / 股票市场中性 / 多策略,期货策略 / 量化期货 / 混合均衡,"量派CTA八号=股票对冲/股票市场中性/多策略；量派CTA八号A类=期货策略/量化期货/截面,时序,混合",,
SX4966,量锐18号私募基金,宁波金戈量锐资产管理有限公司,股票对冲,股票市场中性,"量价,中频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 量价,中频","股票对冲 / 股票市场中性 / 低频,中频,量价","量锐18号=股票对冲/股票市场中性/量价,中频",,
SGC823,量锐28号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票对冲,股票市场中性,"500中性,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 500中性,高频",,"量锐28号=股票对冲/股票市场中性/500中性,高频",,
SGR954,量锐62号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,量锐62号=股票多头,,
SH1956,量锐7号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,"500指增,量价,低频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,量价,低频","股票多头 / 500指增 / 低频,量价","量锐7号=股票多头/指数增强/500指增,量价,低频",,
SQR797,量锐金选中证1000指数增强1号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,1000指增,高,团队数据已有团队策略；产品名含1000指增,股票多头 / 指数增强 / 1000指增,,量锐金选中证1000指数增强1号=股票多头/指数增强/1000指增,,
SQG812,量锐金选中证500指数增强3号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略；产品名含500指增,股票多头 / 指数增强 / 500指增,,量锐金选中证500指数增强3号=股票多头/指数增强/500指增,,
SZW954,量锐长虹2号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,A500指增,高,团队数据已有团队策略,股票多头 / 指数增强 / A500指增,,量锐长虹2号=股票多头/指数增强/A500指增,,
SNF635,量锐指数增强1000一号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,"1000指增,低频,中频",高,团队数据已有团队策略；产品名含指增/指数增强,"股票多头 / 指数增强 / 1000指增,低频,中频",股票多头 / 1000指增,"量锐指数增强1000一号=股票多头/指数增强/1000指增,低频,中频",,
SAHC34,量锐指数增强2000一号私募证券投资基金,宁波金戈量锐资产管理有限公司,股票多头,指数增强,2000指增,高,团队数据已有团队策略；产品名含指增/指数增强,股票多头 / 指数增强 / 2000指增,,量锐指数增强2000一号=股票多头/指数增强/2000指增,,
SX9015,量游寰宇一号私募投资基金,上海量游资产管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略,期货策略 / 量化期货 / 混合,期货策略 / 量化期货 / 混合均衡,量游寰宇一号=期货策略/量化期货/混合,,
SNB320,量游进取阿尔法3号私募证券投资基金,上海量游资产管理有限公司,股票对冲,股票市场中性,300中性,高,团队数据已有团队策略,股票对冲 / 股票市场中性 / 300中性,股票对冲 / 股票市场中性 / 300中性,量游进取阿尔法3号=股票对冲/股票市场中性/300中性,,
SJW021,量游檀雅一号私募证券投资基金,上海量游资产管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,"期权策略 / 场内期权 / 金融期权,定价卖波",量游檀雅一号=期权策略/场内期权/期权套利,,
SBDH78,量宇冠一三十三号私募证券投资基金,上海量宇私募基金管理有限公司,股票对冲,,,高,团队数据已有团队策略,股票对冲,股票对冲,量宇冠一三十三号=股票对冲,,
SJF488,量宇红番茄七号私募证券投资基金,上海量宇私募基金管理有限公司,股票对冲,择时对冲,,高,团队数据已有团队策略,股票对冲 / 择时对冲,股票对冲 / 择时对冲,量宇红番茄七号=股票对冲/择时对冲,,
SJM483,量宇红番茄十一号私募证券投资基金,上海量宇私募基金管理有限公司,股票多头,另类多头,择时择股,高,同系列/份额已有团队策略,,,量宇红番茄十一号B类=股票多头/另类多头/择时择股,,
SBEG47,量智传奇CTA三号私募证券投资基金,上海量智私募基金管理有限公司,期货策略,量化期货,"机器学习,中高频",高,团队数据已有团队策略；产品名含CTA,"期货策略 / 量化期货 / 机器学习,中高频",期货策略 / 量化期货,"量智传奇CTA三号=期货策略/量化期货/机器学习,中高频",,
SBGT86,量智传奇ETF私募证券投资基金,上海量智私募基金管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,量智传奇ETF=套利策略；量智传奇ETFA类=套利策略,,
SBPX90,量子策云稳健七号私募证券投资基金,北京量子智能投资管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 商品期权,量子策云稳健七号=期权策略/场内期权/商品波动率,,
SAWB79,量子福鑫八号私募证券投资基金,北京量子智能投资管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,量子福鑫八号=股票多头,,
SLA149,霖海合璧1期私募证券投资基金,霖海投资管理（上海）有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,霖海合璧1期=期货策略/量化期货/股指,,
SQG174,灵涛机构专享3期私募证券投资基金,灵涛私募基金管理（上海）有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,灵涛机构专享3期=期货策略/量化期货/股指,,
SXS456,灵涛平衡混合私募证券投资基金,灵涛私募基金管理（上海）有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,灵涛平衡混合=期货策略/量化期货/股指,,
SB0843,瓴沃兰芷一号私募证券投资基金,赣州瓴沃私募投资基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权,瓴沃兰芷一号=期权策略/场内期权/商品波动率,,
SBHC72,凌鸿志鼎安私募证券投资基金,广州凌鸿志私募证券投资基金管理有限公司,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,凌鸿志鼎安=股票对冲/打板,,
SBHS74,凌鸿志鼎承私募证券投资基金,广州凌鸿志私募证券投资基金管理有限公司,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,凌鸿志鼎承=股票对冲/打板,,
SBHC83,凌鸿志厚杉一号私募证券投资基金,广州凌鸿志私募证券投资基金管理有限公司,股票对冲,打板,盘中板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘中板,股票对冲 / 择时对冲 / 打板,凌鸿志厚杉一号=股票对冲/打板/盘中板,,
SSS013,领久恒峰A期私募证券投资基金,上海领久私募基金管理有限公司,股票多头,主观多头,"价值成长,海外",高,团队数据已有团队策略,"股票多头 / 主观多头 / 价值成长,海外",股票多头 / 主观多头,"领久恒峰A期=股票多头/主观多头/价值成长,海外",,
SAXA95,领容炽航泓途私募证券投资基金,上海领容投资管理有限公司,期货策略,主观期货,交易型,高,团队数据已有团队策略,期货策略 / 主观期货 / 交易型,期货策略 / 主观期货 / 交易型,领容炽航泓途=期货策略/主观期货/交易型；领容炽航泓途B类=期货策略/主观期货/交易型；领容炽航泓途C类=期货策略/主观期货/交易型；领容炽航泓途A类=期货策略/主观期货/交易型,,
SXQ364,领容恒驰私募证券投资基金,上海领容投资管理有限公司,套利策略,期货套利,"跨市场套利,商品套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 跨市场套利,商品套利","套利策略 / 期货套利 / 商品套利,跨市场套利","领容恒驰=套利策略/期货套利/跨市场套利,商品套利；领容恒驰B类=期货策略/主观期货",,
SQM875,领容希麦私募证券投资基金,上海领容投资管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,期货策略 / 主观期货,领容希麦=期货策略/主观期货；领容希麦B类=期货策略/主观期货,,
SZT644,领容元婴2号私募证券投资基金,上海领容投资管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,领容元婴2号=多资产策略,,
SXS920,领容长乐1号私募证券投资基金,上海领容投资管理有限公司,期货策略,主观期货,有色,高,团队数据已有团队策略,期货策略 / 主观期货 / 有色,期货策略 / 主观期货 / 有色,领容长乐1号=期货策略/主观期货/有色；领容长乐1号B类=期货策略/主观期货/有色,,
SQU767,六妙星豪鑫主观2号私募证券投资基金,六妙星（北京）私募基金管理有限公司,股票对冲,打板,"强势股,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 强势股,盘中板","股票对冲 / 择时对冲 / 打板,强势股","六妙星豪鑫主观2号=股票对冲/打板/强势股,盘中板",,
SBUW51,六妙星九紫二号私募证券投资基金,六妙星（北京）私募基金管理有限公司,股票对冲,打板,"盘中板,量化,主观",高,团队数据已有团队策略,"股票对冲 / 打板 / 盘中板,量化,主观",股票对冲 / 择时对冲 / 打板,"六妙星九紫二号=股票对冲/打板/盘中板,量化,主观",,
SBPC20,六妙星九紫一号私募证券投资基金,六妙星（北京）私募基金管理有限公司,股票对冲,打板,盘中板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘中板,,六妙星九紫一号=股票对冲/打板/盘中板,,
SAQS27,六妙星相见欢私募证券投资基金,六妙星（北京）私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,六妙星相见欢=股票多头,,
SQW857,龙帆恒盛稳固2号私募证券投资基金,厦门龙帆资产管理有限公司,套利策略,期货套利,"跨期套利,商品套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 跨期套利,商品套利","套利策略 / 期货套利 / 跨期套利,商品套利","龙帆恒盛稳固2号=套利策略/期货套利/跨期套利,商品套利；龙帆恒盛稳固9号=套利策略/期货套利/跨期套利,商品套利；龙帆恒盛稳固10号=套利策略/期货套利/跨期套利,商品套利；龙帆恒盛稳固8号=套利策略/期货套利；龙帆恒盛稳固1号=期权策略/场内期权",,
SSE876,龙旗1000指增1号私募证券投资基金,杭州龙旗科技有限公司,股票多头,指数增强,"1000指增,中频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,中频",股票多头 / 1000指增,"龙旗1000指增1号=股票多头/指数增强/1000指增,中频；龙旗1000指增2号=股票多头/指数增强/1000指增,中频",,
SSJ316,龙旗1000指增2号私募证券投资基金,杭州龙旗科技有限公司,股票多头,指数增强,"1000指增,中频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,中频",股票多头 / 1000指增,"龙旗1000指增2号=股票多头/指数增强/1000指增,中频；龙旗1000指增1号=股票多头/指数增强/1000指增,中频",,
SSM136,龙旗股票量化多头1号私募证券投资基金,杭州龙旗科技有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,龙旗股票量化多头1号=股票多头,,
SM4569,龙旗红旭私募投资基金,杭州龙旗科技有限公司,股票多头,指数增强,"500指增,量价,中频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,量价,中频","股票多头 / 500指增 / 中频,量价","龙旗红旭=股票多头/指数增强/500指增,量价,中频",,
SH7639,龙旗巨星一号私募投资基金,杭州龙旗科技有限公司,股票多头,另类多头,"择时择股,持仓分散",高,团队数据已有团队策略,"股票多头 / 另类多头 / 择时择股,持仓分散",股票多头 / 另类多头 / 择时择股,"龙旗巨星一号=股票多头/另类多头/择时择股,持仓分散",,
SCA340,龙旗御风私募投资基金,杭州龙旗科技有限公司,股票多头,指数增强,300指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 300指增,"股票多头 / 300指增 / 低频,量价,基本面",龙旗御风=股票多头/指数增强/300指增,,
S21883,龙旗紫微量化对冲基金,杭州龙旗科技有限公司,股票对冲,股票市场中性,"500中性,中频",高,团队数据已有团队策略；产品名含对冲,"股票对冲 / 股票市场中性 / 500中性,中频","股票对冲 / 股票市场中性 / 中频,量价,500中性",,,
SAFQ54,龙壹盛安泰私募证券投资基金,杭州龙壹盛私募基金管理有限公司,套利策略,期货套利,锁仓,高,团队数据已有团队策略,套利策略 / 期货套利 / 锁仓,"期货策略 / 量化期货 / 高频,股指",龙壹盛安泰=套利策略/期货套利/锁仓,,
SAPN72,龙壹盛风华永晟私募证券投资基金,杭州龙壹盛私募基金管理有限公司,套利策略,期货套利,"锁仓,高频套利,股指套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 锁仓,高频套利,股指套利",套利策略,"龙壹盛风华永晟=套利策略/期货套利/锁仓,高频套利,股指套利",,
SBDS53,龙壹盛睿盈私募证券投资基金,杭州龙壹盛私募基金管理有限公司,期货策略,,,高,团队数据已有团队策略,期货策略,期货策略,龙壹盛睿盈=期货策略,,
SALG27,龙壹盛顺达私募证券投资基金,杭州龙壹盛私募基金管理有限公司,期货策略,量化期货,"股指,高频",高,团队数据已有团队策略,"期货策略 / 量化期货 / 股指,高频","期货策略 / 量化期货 / 高频,股指","龙壹盛顺达=期货策略/量化期货/股指,高频",,
SER388,鲁民投至中一号私募证券投资基金,鲁民投基金管理有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,鲁民投至中一号=股票对冲/股票市场中性,,
SVY182,罗维盈安伏波1号私募证券投资基金,宁波罗维盈安投资管理有限公司,股票对冲,股票多空,场外券,高,同系列/份额已有团队策略,,,罗维盈安伏波1号A类=股票对冲/股票多空/场外券,,
